PRODUCT_ID,Y_Class
TEST_000,1
TEST_001,1
TEST_002,1
TEST_003,0
TEST_004,2
TEST_005,1
TEST_006,1
TEST_007,0
TEST_008,0
TEST_009,2
TEST_010,1
TEST_011,1
TEST_012,2
TEST_013,0
TEST_014,0
TEST_015,1
TEST_016,1
TEST_017,2
TEST_018,2
TEST_019,1
TEST_020,1
TEST_021,0
TEST_022,1
TEST_023,1
TEST_024,1
TEST_025,1
TEST_026,2
TEST_027,1
TEST_028,1
TEST_029,1
TEST_030,1
TEST_031,2
TEST_032,1
TEST_033,1
TEST_034,1
TEST_035,1
TEST_036,2
TEST_037,0
TEST_038,2
TEST_039,0
TEST_040,0
TEST_041,0
TEST_042,0
TEST_043,0
TEST_044,0
TEST_045,1
TEST_046,2
TEST_047,0
TEST_048,2
TEST_049,0
TEST_050,1
TEST_051,1
TEST_052,0
TEST_053,0
TEST_054,0
TEST_055,1
TEST_056,1
TEST_057,2
TEST_058,0
TEST_059,1
TEST_060,1
TEST_061,2
TEST_062,0
TEST_063,2
TEST_064,0
TEST_065,0
TEST_066,0
TEST_067,2
TEST_068,1
TEST_069,1
TEST_070,1
TEST_071,0
TEST_072,0
TEST_073,1
TEST_074,2
TEST_075,2
TEST_076,1
TEST_077,2
TEST_078,2
TEST_079,0
TEST_080,1
TEST_081,1
TEST_082,1
TEST_083,1
TEST_084,2
TEST_085,2
TEST_086,0
TEST_087,1
TEST_088,0
TEST_089,1
TEST_090,1
TEST_091,2
TEST_092,1
TEST_093,1
TEST_094,1
TEST_095,1
TEST_096,2
TEST_097,2
TEST_098,1
TEST_099,2
TEST_100,2
TEST_101,2
TEST_102,1
TEST_103,1
TEST_104,2
TEST_105,1
TEST_106,1
TEST_107,2
TEST_108,1
TEST_109,2
TEST_110,1
TEST_111,1
TEST_112,2
TEST_113,1
TEST_114,1
TEST_115,2
TEST_116,1
TEST_117,1
TEST_118,2
TEST_119,2
TEST_120,1
TEST_121,1
TEST_122,1
TEST_123,2
TEST_124,2
TEST_125,1
TEST_126,2
TEST_127,1
TEST_128,0
TEST_129,1
TEST_130,2
TEST_131,0
TEST_132,2
TEST_133,1
TEST_134,1
TEST_135,1
TEST_136,1
TEST_137,1
TEST_138,2
TEST_139,1
TEST_140,1
TEST_141,0
TEST_142,0
TEST_143,1
TEST_144,1
TEST_145,2
TEST_146,1
TEST_147,2
TEST_148,1
TEST_149,1
TEST_150,2
TEST_151,2
TEST_152,2
TEST_153,1
TEST_154,1
TEST_155,1
TEST_156,1
TEST_157,1
TEST_158,0
TEST_159,2
TEST_160,1
TEST_161,2
TEST_162,1
TEST_163,1
TEST_164,1
TEST_165,1
TEST_166,2
TEST_167,1
TEST_168,1
TEST_169,1
TEST_170,2
TEST_171,1
TEST_172,1
TEST_173,1
TEST_174,1
TEST_175,1
TEST_176,1
TEST_177,2
TEST_178,1
TEST_179,1
TEST_180,2
TEST_181,2
TEST_182,2
TEST_183,1
TEST_184,2
TEST_185,1
TEST_186,1
TEST_187,1
TEST_188,1
TEST_189,1
TEST_190,1
TEST_191,1
TEST_192,1
TEST_193,1
TEST_194,1
TEST_195,1
TEST_196,1
TEST_197,1
TEST_198,1
TEST_199,2
TEST_200,2
TEST_201,1
TEST_202,1
TEST_203,1
TEST_204,1
TEST_205,1
TEST_206,2
TEST_207,1
TEST_208,2
TEST_209,1
TEST_210,1
TEST_211,1
TEST_212,1
TEST_213,1
TEST_214,1
TEST_215,1
TEST_216,2
TEST_217,1
TEST_218,1
TEST_219,1
TEST_220,1
TEST_221,1
TEST_222,2
TEST_223,2
TEST_224,1
TEST_225,1
TEST_226,1
TEST_227,1
TEST_228,1
TEST_229,1
TEST_230,1
TEST_231,1
TEST_232,2
TEST_233,1
TEST_234,1
TEST_235,1
TEST_236,1
TEST_237,1
TEST_238,1
TEST_239,1
TEST_240,1
TEST_241,1
TEST_242,1
TEST_243,1
TEST_244,1
TEST_245,1
TEST_246,1
TEST_247,1
TEST_248,0
TEST_249,0
TEST_250,0
TEST_251,2
TEST_252,2
TEST_253,0
TEST_254,0
TEST_255,0
TEST_256,1
TEST_257,1
TEST_258,1
TEST_259,1
TEST_260,2
TEST_261,1
TEST_262,1
TEST_263,0
TEST_264,1
TEST_265,1
TEST_266,1
TEST_267,1
TEST_268,1
TEST_269,2
TEST_270,2
TEST_271,1
TEST_272,1
TEST_273,1
TEST_274,1
TEST_275,2
TEST_276,1
TEST_277,1
TEST_278,1
TEST_279,1
TEST_280,2
TEST_281,0
TEST_282,2
TEST_283,2
TEST_284,2
TEST_285,2
TEST_286,2
TEST_287,1
TEST_288,1
TEST_289,1
TEST_290,1
TEST_291,1
TEST_292,2
TEST_293,0
TEST_294,1
TEST_295,1
TEST_296,1
TEST_297,1
TEST_298,1
TEST_299,1
TEST_300,1
TEST_301,1
TEST_302,1
TEST_303,0
TEST_304,1
TEST_305,1
TEST_306,1
TEST_307,2
TEST_308,2
TEST_309,1
